nombre;marca;categoria;sap;precio;paginaPdf;todasLasPaginas;notaPrecio
Badia Ajo Finamente Picado con Limón y Albahaca 226,7 g;Badia;Ajo picado;2034008;22000;206;206;PSP
Badia Ajo Finamente Picado con Pimienta Roja 226,7 g;Badia;Ajo picado;2034009;22000;207;207;PSP
Badia Ajo Finamente Picado con Sazón Completa 226,7 g;Badia;Ajo picado;2034331;22000;208;208;PSP
Badia Ajo Negro Finamente Picado en Agua 226,7 g;Badia;Ajo picado;2034015;32950;209;209;PSP
Badia Ajo Picado en Aceite de Oliva 226 g;Badia;Ajo picado;2017467;;228;228;columna VALOR = precio de lista, no PSP
Badia Leche de Coco 400 ml;Badia;Conservas;2017340;;229;229;columna VALOR = precio de lista, no PSP
Badia Ajo en Polvo 297,7 g;Badia;Especias;2017272;;215;215;
Badia Ajo en Polvo 453,6 g;Badia;Especias;2017392;;215;215;
Badia Ajo en Polvo 85 g;Badia;Especias;2017237;;215;215;precio sin etiquetar en la página
Badia Ajo y Perejil 141,7 g;Badia;Especias;2017291;;224;224;columna VALOR = precio de lista, no PSP
Badia Ajo y Perejil 42 g;Badia;Especias;2017194;;224;224;columna VALOR = precio de lista, no PSP
Badia Albahaca 14 g;Badia;Especias;2017181;;221;221 223;columna VALOR = precio de lista, no PSP
Badia Albahaca 21,3 g;Badia;Especias;2017219;;221;221 223;columna VALOR = precio de lista, no PSP
Badia Canela en Polvo 453,6 g;Badia;Especias;2017379;;215;215;precio sin etiquetar en la página
Badia Canela en Polvo 56,7 g;Badia;Especias;2017228;;215;215;precio sin etiquetar en la página
Badia Canela en Rama 14,2 g;Badia;Especias;2017188;;215;215;
Badia Cebolla en Polvo 78 g;Badia;Especias;2017244;;217;217;
Badia Cilantro 56,6 g;Badia;Especias;2017378;;224;224;columna VALOR = precio de lista, no PSP
Badia Cilantro 7,1 g;Badia;Especias;2017186;;221;221 224;columna VALOR = precio de lista, no PSP
Badia Clavos de Olor;Badia;Especias;2017189;;214;214;la página no indica el gramaje
Badia Curry en Polvo 28 g;Badia;Especias;2017193;;224;224;columna VALOR = precio de lista, no PSP
Badia Curry en Polvo 56,7 g;Badia;Especias;2017235;;224;224;columna VALOR = precio de lista, no PSP
Badia Cúrcuma Molida 453,6 g;Badia;Especias;2017425;;216;216;
Badia Cúrcuma Orgánica 56,7 g;Badia;Especias;2017451;;216;216;
Badia Estragón 14,2 g;Badia;Especias;2017261;;221;221 226;columna VALOR = precio de lista, no PSP
Badia Jengibre Cristalizado 42,5 g;Badia;Especias;2017449;;229;229;columna VALOR = precio de lista, no PSP
Badia Jengibre Molido 21 g;Badia;Especias;2017196;;214;214;
Badia Jengibre Molido 42,5 g;Badia;Especias;2017239;;214;214;
Badia Mezcla de Pimientas con Molino 56,7 g;Badia;Especias;2017263;;228;228;columna VALOR = precio de lista, no PSP
Badia Mostaza Seca Orgánica 56,7 g;Badia;Especias;2017456;;214;214 216;
Badia Nuez Moscada 56,7 g;Badia;Especias;2017243;;217;217;
Badia Nuez Moscada Molida 14,2 g;Badia;Especias;2017198;;217;217;
Badia Nuez Moscada Molida 56,7 g;Badia;Especias;2017242;;217;217;
Badia Orégano 14,2 g;Badia;Especias;2017202;;221;221 223;columna VALOR = precio de lista, no PSP
Badia Orégano 155,9 g;Badia;Especias;2017403;;221;221 223;columna VALOR = precio de lista, no PSP
Badia Orégano 28,3 g;Badia;Especias;2017246;;221;221 223;"columna VALOR = precio de lista, no PSP; la tabla dice 14,2 g pero el empaque muestra 28,3 g"
Badia Orégano Orgánico 21,2 g;Badia;Especias;2017455;;223;223;columna VALOR = precio de lista, no PSP
Badia Pimentón (Paprika) 28 g;Badia;Especias;2017203;;217;217;
Badia Pimentón (Paprika) 456,3 g;Badia;Especias;2017405;;217;217;
Badia Pimentón (Paprika) 56,7 g;Badia;Especias;2017247;;217;217;
Badia Pimienta Blanca Molida;Badia;Especias;2017207;;220;220;la página no indica el gramaje
Badia Pimienta Negra con Molino 63,8 g;Badia;Especias;2017262;;219;219;
Badia Pimienta Negra Entera 14,2 g;Badia;Especias;2017208;;219;219;
Badia Pimienta Negra Molida 14,2 g;Badia;Especias;2017206;;219;219;
Badia Pimienta Negra Molida 56,7 g;Badia;Especias;2017249;;219;219;
Badia Pimienta Roja Cayena 453,6 g;Badia;Especias;2017413;;218;218;
Badia Pimienta Roja Cayena 49,6 g;Badia;Especias;2017251;;218;218;
Badia Pimienta Roja Cayena Orgánica 49,5 g;Badia;Especias;2017452;;218;218;
Badia Pimienta Roja Cayena Orgánica triturada 35,5 g;Badia;Especias;2017460;;218;218;
Badia Pimienta Roja Triturada 14,2 g;Badia;Especias;2017205;;219;219;
Badia Polvo de Chili 70,8 g;Badia;Especias;2017225;;226;226;columna VALOR = precio de lista, no PSP
Badia Romero 14,2 g;Badia;Especias;2017210;;225;225;columna VALOR = precio de lista, no PSP
Badia Sal Cilantro Limón 226,6 g;Badia;Especias;2017317;;228;228;columna VALOR = precio de lista, no PSP
Badia Sal de Ajo 127,6 g;Badia;Especias;2017238;;230;230;columna VALOR = precio de lista, no PSP
Badia Sal de Ajo 453,6 g;Badia;Especias;2017273;;230;230;columna VALOR = precio de lista, no PSP
Badia Sal de Cebolla 127,8 g;Badia;Especias;2017245;;230;230;columna VALOR = precio de lista, no PSP
Badia Sal Rosada del Himalaya Grinder 127,6 g;Badia;Especias;2012154;;119;119;"la página muestra un precio sin etiquetar; no se pudo confirmar que sea PSP"
Badia Sazonador Fajita 78 g;Badia;Especias;2017363;;226;226;columna VALOR = precio de lista, no PSP
Badia Sazón (color y achiote) 85 g;Badia;Especias;2017258;;226;226;columna VALOR = precio de lista, no PSP
Badia Sazón Completa 340,2 g;Badia;Especias;2017268;;222;222;columna VALOR = precio de lista, no PSP
Badia Sazón Completa 49,6 g;Badia;Especias;2017190;;222;222;columna VALOR = precio de lista, no PSP
Badia Sazón Completa 793,8 g;Badia;Especias;2017383;;222;222;columna VALOR = precio de lista, no PSP
Badia Sazón Completa 99,2 g;Badia;Especias;2017232;;222;222;columna VALOR = precio de lista, no PSP
Badia Sazón Italiana 141,8 g;Badia;Especias;2017428;;220;220;
Badia Sazón Italiana 35,4 g;Badia;Especias;2017296;;220;220;
Badia Tomillo 14,2 g;Badia;Especias;2017213;;225;225;columna VALOR = precio de lista, no PSP
Badia Almendras Rebanadas 21,3 g;Badia;Frutos secos;2017179;;214;214 225;columna VALOR = precio de lista, no PSP
Badia Rainbow Sprinkles (chispas de colores) 680,4 g;Badia;Repostería;2017421;;220;220;
Badia Chimichurri Steak Sauce con aceite de oliva 226,8 g;Badia;Salsas y marinadas;2017330;;229;229;columna VALOR = precio de lista, no PSP
Badia Mojo Marinado 295,7 ml;Badia;Salsas y marinadas;2017346;;227;227;columna VALOR = precio de lista, no PSP
Badia Salsa Chipotle 155 ml;Badia;Salsas y marinadas;2017343;;227;227;columna VALOR = precio de lista, no PSP
Badia Salsa Picante Chili 295,7 ml;Badia;Salsas y marinadas;2017344;;227;227;"columna VALOR = precio de lista, no PSP; la tabla dice 295,7 ml y el empaque 155 ml"
Badia Salsa Picante Habanero 155 ml;Badia;Salsas y marinadas;2017345;;228;228;columna VALOR = precio de lista, no PSP
Badia Salsa Sriracha chile con ajo 500 ml;Badia;Salsas y marinadas;2017342;;227;227;columna VALOR = precio de lista, no PSP
Badia Té de Hierbas Naturales 18 bolsas;Badia;Tés y aromáticas;2020748;;213;213;columna VALOR = precio de lista, no PSP
CMU 12 Té Hierbas Naturales Badia 1,5 g;Badia;Tés y aromáticas;1069127;;62;62;
CMU 3 Té Hierbas Naturales Badia 1,5 g;Badia;Tés y aromáticas;1069117;;60;60;
CMU 6 Té Hierbas Naturales Badia 1,5 g;Badia;Tés y aromáticas;1069118;;61;61;
Bénet Alimento en Polvo display 3 sobres x 50 g;Bénet;Bienestar;1060021;;142;142;columna VALOR sin especificar tipo de precio
Bénet Alimento en Polvo Fresa tarro 400 g;Bénet;Bienestar;1068443;;142;142;columna VALOR sin especificar tipo de precio
Bénet Alimento en Polvo Vainilla Ahorrapack 400 g;Bénet;Bienestar;1060078;;142;142 143;columna VALOR sin especificar tipo de precio
Bénet Alimento en Polvo Vainilla doypack 250 g;Bénet;Bienestar;1058787;;142;142;columna VALOR sin especificar tipo de precio
Bénet Alimento en Polvo Vainilla tarro 300 g;Bénet;Bienestar;1068442;;142;142;columna VALOR sin especificar tipo de precio
Bénet Colágeno Hidrolizado en polvo 18 sobres 104,4 g;Bénet;Bienestar;1059262;;134;134;precio sin etiquetar en la página
Cápsulas Bénet Calcio + Magnesio + Vitamina D3 x 30 cápsulas;Bénet;Bienestar;1078795;;130;130;
Cápsulas Bénet Colágeno Hidrolizado + Biotina + Vitamina C x 60 cápsulas;Bénet;Bienestar;2019772;21900;126;126 130;PSP (precio por porción $730)
Cápsulas Bénet Mujer multivitamínico x 30 cápsulas blandas;Bénet;Bienestar;1080785;36900;111;111;PSP
Cápsulas Bénet Vitamina E + Selenio x 30 cápsulas blandas;Bénet;Bienestar;2008565;;130;130;
Gomas Bénet Citrato de Magnesio 48 gomas 144 g;Bénet;Bienestar;2037218;36500;125;125;"PSP PENDIENTE DE CONFIRMAR: las págs. 68-71 muestran este mismo empaque dentro de un combo, con otro código y PSP $48.900. El catálogo usa este precio, el de la página de producto; revisar con el asesor comercial."
Gomas Bénet Colágeno + Selenio + Vitaminas A y E 60 gomas 150 g;Bénet;Bienestar;1072792;45900;70;70;"PSP por unidad (CMU P2 LL3 $146.700) PENDIENTE DE CONFIRMAR: es el mismo producto físico que la referencia de la pág. 124-125 (PSP $36.500), bajo el código del combo. NO se agregó al catálogo para no duplicar la referencia; el sitio muestra $36.500. Revisar con el asesor comercial."
Gomas Bénet Colágeno + Selenio + Vitaminas A y E 60 gomas 150 g;Bénet;Bienestar;2019271;;128;128 129 133;"la página muestra un precio sin etiquetar; no se pudo confirmar que sea PSP PENDIENTE DE CONFIRMAR: las págs. 70-71 le ponen PSP $48.900 al mismo producto bajo el código del combo. Esta página no publica PSP, así que la referencia queda sin precio."
Gomas Bénet Kids Citrato de Magnesio 48 gomas 144 g;Bénet;Bienestar;1080149;42900;112;112;PSP
Gomas Bénet Kids Multivitaminas + Minerales 45 gomas;Bénet;Bienestar;2018640;;133;133;columna VALOR sin especificar tipo de precio
Gomas Bénet Kids Omega 3 + Zinc 40 gomas 100 g;Bénet;Bienestar;2020557;;132;132;"la página muestra precios sin etiquetar; no se pudo confirmar que sean PSP"
Gomas Bénet Kids Vitamina C + Zinc 48 gomas;Bénet;Bienestar;2018639;;133;133;columna VALOR sin especificar tipo de precio
Gomas Bénet Magnesio 48 gomas 144 g;Bénet;Bienestar;1080145;48900;69;69;"PSP por unidad (CMU 2 un. $97.800) PENDIENTE DE CONFIRMAR: es el mismo producto físico que la referencia de la pág. 124-125 (PSP $36.500), bajo el código del combo. NO se agregó al catálogo para no duplicar la referencia; el sitio muestra $36.500. Revisar con el asesor comercial."
Gomas Bénet Omega 3 + Zinc 40 gomas 100 g;Bénet;Bienestar;2023030;;129;129;
Gomas Bénet Vinagre de Manzana 48 gomas 144 g;Bénet;Bienestar;1080144;48900;68;68;"PSP por unidad (CMU 2 un. $97.800) PENDIENTE DE CONFIRMAR: es el mismo producto físico que la referencia de la pág. 124-125 (PSP $36.500), bajo el código del combo. NO se agregó al catálogo para no duplicar la referencia; el sitio muestra $36.500. Revisar con el asesor comercial."
Gomas Bénet Vinagre de Manzana 48 gomas 144 g;Bénet;Bienestar;2037217;36500;124;124;"PSP PENDIENTE DE CONFIRMAR: las págs. 68-71 muestran este mismo empaque dentro de un combo, con otro código y PSP $48.900. El catálogo usa este precio, el de la página de producto; revisar con el asesor comercial."
Gomas Bénet Vitaminas y Minerales 60 gomas 150 g;Bénet;Bienestar;2019269;;129;129;
Gomas Bénet Zinc + Vitamina C 60 gomas;Bénet;Bienestar;2019270;;133;133;columna VALOR sin especificar tipo de precio PENDIENTE DE CONFIRMAR: las págs. 70-71 le ponen PSP $48.900 al mismo producto bajo el código del combo. Esta página no publica PSP, así que la referencia queda sin precio.
Gomas Bénet Zinc + Vitamina C 60 gomas 150 g;Bénet;Bienestar;1071985;45900;71;71;"PSP por unidad (CMU P2 LL3 $146.700) PENDIENTE DE CONFIRMAR: es el mismo producto físico que la referencia de la pág. 124-125 (PSP $36.500), bajo el código del combo. NO se agregó al catálogo para no duplicar la referencia; el sitio muestra $36.500. Revisar con el asesor comercial."
Kola Granulada Bénet Fresa 300 g;Bénet;Bienestar;1079620;18900;113;113;PSP
Kola Granulada Bénet multivitamínico (CMU P5 LL6);Bénet;Bienestar;1089426;18900;72;72;PSP por unidad (CMU $113.400). La página muestra dos códigos: 1089426 en el título y 1072793 en el cuerpo
Kola Granulada Bénet multivitamínico 300 g (CMU P2 LL3);Bénet;Bienestar;1083485;18900;73;73;PSP por unidad (CMU $56.700)
Tabletas Bénet Complejo B + Vitamina C + Calcio + Zinc x 60 tabletas;Bénet;Bienestar;1078796;;130;130;
Tabletas Bénet Vitamina D3 2.000 UI x 60 tabletas;Bénet;Bienestar;2019773;15900;127;127 129;PSP (precio por porción $265)
Bénet Active Proteína bebida lista 250 ml café capuccino;Bénet;Proteína;1064829;;141;141;precio sin etiquetar en la página
Bénet Active Proteína bebida lista 250 ml café capuccino (pack x 3);Bénet;Proteína;1065136;;141;141;precio sin etiquetar en la página
Bénet Active Proteína bebida lista 250 ml frutos rojos;Bénet;Proteína;1064827;;139;139;precio sin etiquetar en la página
Bénet Active Proteína bebida lista 250 ml frutos rojos (pack x 3);Bénet;Proteína;1065126;;139;139;precio sin etiquetar en la página
Bénet Active Proteína bebida lista 250 ml vainilla banano;Bénet;Proteína;1064828;;140;140;precio sin etiquetar en la página
Bénet Active Proteína bebida lista 250 ml vainilla banano (pack x 3);Bénet;Proteína;1065135;;140;140;precio sin etiquetar en la página
Proteína Bénet Active en polvo Café Capuccino 340 g;Bénet;Proteína;1068387;;143;143;precio sin etiquetar en la página
Proteína Bénet Active en polvo Vainilla 340 g;Bénet;Proteína;1058789;;143;143;precio sin etiquetar en la página
Proteína Bénet Active en polvo Vainilla doypack 154 g;Bénet;Proteína;1059215;;143;143;precio sin etiquetar en la página
Proteína Bénet Colágeno Whey Protein frutos rojos 375 g;Bénet;Proteína;1071401;;136;136;
Proteína Bénet Whey Protein helado de vainilla 595 g;Bénet;Proteína;1076417;129900;137;137;PSP
Carve Proteína Vegetal de Soya bolsa 200 g;Carve;Proteína vegetal;1001642;;203;203;precio sin etiquetar en la página
Carve Proteína Vegetal de Soya caja 165 g;Carve;Proteína vegetal;1001639;;203;203;precio sin etiquetar en la página
Carve Proteína Vegetal de Soya caja 335 g;Carve;Proteína vegetal;1001640;;203;203;precio sin etiquetar en la página
Chocolisto Chocolate 200 g;Chocolisto;Bebidas achocolatadas;1076738;;249;249;precio sin etiquetar en la página
Chocolisto Chocolate 4 x 90 g;Chocolisto;Bebidas achocolatadas;1075620;;249;249;precio sin etiquetar en la página
Chocolisto Chocolate 90 g (unidad);Chocolisto;Bebidas achocolatadas;1075398;;249;249;precio sin etiquetar en la página
Chocolisto Chocolate Ahorrapack doypack 1.500 g;Chocolisto;Bebidas achocolatadas;1076652;;250;250;precio sin etiquetar en la página
Chocolisto Chocolate Ahorrapack doypack 440 g;Chocolisto;Bebidas achocolatadas;1076743;;250;250;precio sin etiquetar en la página
Chocolisto Chocolate Ahorrapack doypack 600 g;Chocolisto;Bebidas achocolatadas;1076653;;251;251;precio sin etiquetar en la página
Chocolisto Chocolate Ahorrapack tarro 900 g;Chocolisto;Bebidas achocolatadas;1075622;;250;250;"precio sin etiquetar; el texto dice 900 g y el empaque 1.000 g"
Chocolisto Chocolate tarro 300 g;Chocolisto;Bebidas achocolatadas;1076740;;250;250;precio sin etiquetar en la página
Chocolisto Chocolate tira x 12 unidades;Chocolisto;Bebidas achocolatadas;1075623;;249;249;precio sin etiquetar en la página
Chocolisto Chocolate tira x 18 unidades;Chocolisto;Bebidas achocolatadas;1075624;;249;249;precio sin etiquetar en la página
Chocolisto Crocante 100 g;Chocolisto;Bebidas achocolatadas;1038973;;251;251;precio sin etiquetar en la página
Chocolisto Crocante 250 g;Chocolisto;Bebidas achocolatadas;1038974;;251;251;precio sin etiquetar en la página
Chocolisto Sin Azúcar 180 g;Chocolisto;Bebidas achocolatadas;1053337;;251;251;precio sin etiquetar en la página
CMU Chocolisto Chocolate 200 g Paga 5 Lleve 6;Chocolisto;Bebidas achocolatadas;1078981;48000;34;34;VENDE
CMU Chocolisto Chocolate 5 un x 90 g;Chocolisto;Bebidas achocolatadas;1078982;20000;33;33;VENDE
CMU 1 Ristra Colcafé Liofilizado 18 g;Colcafé;Café;1090703;24000;8;8;VENDE
CMU 2 Ristras Colcafé Clásico 8 g;Colcafé;Café;1089902;36000;9;9;VENDE
Colcafé 3 en 1 caja 12 sobres x 16 g (192 g);Colcafé;Café;1064803;;262;262;columna Precio = precio de lista, no PSP
Colcafé 3 en 1 Light tarro 310 g;Colcafé;Café;1064969;;262;262;columna Precio = precio de lista, no PSP
Colcafé 3 en 1 tarro 380 g;Colcafé;Café;1064801;;262;262;columna Precio = precio de lista, no PSP
Colcafé Balanceado Liofilizado 170 g;Colcafé;Café;1074254;;260;260;columna Precio = precio de lista, no PSP
Colcafé Balanceado Liofilizado 47 g;Colcafé;Café;1074284;;260;260;precio sin etiquetar en la página
Colcafé Balanceado Liofilizado 85 g;Colcafé;Café;1074283;;260;260;columna Precio = precio de lista, no PSP
Colcafé Bastiyá Balanceado Granulado 500 g;Colcafé;Café;1030756;;255;255 260;"columna Precio = precio de lista, no PSP; la tabla dice 300 GR y el título 500 g (revisar)"
Colcafé Café con Leche bolsa 880 g;Colcafé;Café;1064059;;263;263;columna Precio = precio de lista, no PSP
Colcafé Café con Leche caja 6 sobres x 22 g (132 g);Colcafé;Café;1063532;;263;263;columna Precio = precio de lista, no PSP
Colcafé Café con Leche doypack 220 g;Colcafé;Café;1063531;;263;263;columna Precio = precio de lista, no PSP
Colcafé Café con Leche tarro 396 g;Colcafé;Café;1078708;;262;262;columna Precio = precio de lista, no PSP
Colcafé Cappuccino Caramelo caja 6 sobres;Colcafé;Café;1066754;;266;266;columna VALOR = precio de lista, no PSP
Colcafé Cappuccino Clásico caja 6 sobres;Colcafé;Café;1065439;;265;265;columna VALOR = precio de lista, no PSP
Colcafé Cappuccino Clásico Más Ahorro bolsa 500 g;Colcafé;Café;1066702;;266;266;"columna VALOR = precio de lista, no PSP; la tabla dice 50G y el empaque 500 g"
Colcafé Cappuccino Clásico tarro 270 g;Colcafé;Café;1065448;;264;264;columna VALOR = precio de lista, no PSP
Colcafé Cappuccino Mocca caja 6 sobres;Colcafé;Café;1066758;;265;265;columna VALOR = precio de lista, no PSP
Colcafé Cappuccino Mocca tarro 270 g;Colcafé;Café;1066759;;264;264;columna VALOR = precio de lista, no PSP
Colcafé Cappuccino Vainilla caja 6 sobres;Colcafé;Café;1065742;;265;265;columna VALOR = precio de lista, no PSP
Colcafé Cappuccino Vainilla doypack 144 g;Colcafé;Café;1065744;;264;264;columna VALOR = precio de lista, no PSP
Colcafé Cappuccino Vainilla tarro 270 g;Colcafé;Café;1065743;;264;264;columna VALOR = precio de lista, no PSP
Colcafé Caramelo frasco 50 g;Colcafé;Café;1003377;;259;259;columna VALOR = precio de lista, no PSP
Colcafé Clásico doypack 25 g x 6 unidades;Colcafé;Café;1002807;;258;258;columna VALOR = precio de lista, no PSP
Colcafé Clásico frasco 42 g;Colcafé;Café;1043503;;258;258;columna VALOR = precio de lista, no PSP
Colcafé Clásico frasco 50 g;Colcafé;Café;1003355;;258;258;columna VALOR = precio de lista, no PSP
Colcafé Clásico frasco 85 g;Colcafé;Café;1003354;;258;258;columna VALOR = precio de lista, no PSP
Colcafé Clásico frasco PET 170 g;Colcafé;Café;1003353;;258;258;columna VALOR = precio de lista, no PSP
Colcafé Clásico Más Ahorro bolsa 500 g;Colcafé;Café;1003359;;259;259;columna VALOR = precio de lista, no PSP
Colcafé Clásico Más Ahorro frasco 250 g;Colcafé;Café;1003350;;258;258;columna VALOR = precio de lista, no PSP
Colcafé Clásico plegadiza 50 sobres x 8 g;Colcafé;Café;1079572;1500;257;257;PSP por sobre de 8 g
Colcafé Clásico ristra 12 sobres x 8 g;Colcafé;Café;1079625;1500;256;256;PSP por sobre de 8 g
Colcafé Clásico sobres 1,5 g x 48 (caja 72 g);Colcafé;Café;1056678;;255;255;columna VALOR = precio de lista, no PSP
Colcafé Intenso Granulado 170 g;Colcafé;Café;1014991;;254;254;columna Precio = precio de lista, no PSP
Colcafé Intenso Granulado 50 g;Colcafé;Café;1014989;;254;254;columna Precio = precio de lista, no PSP
Colcafé Intenso Granulado 85 g;Colcafé;Café;1014990;;254;254;columna Precio = precio de lista, no PSP
Colcafé Intenso Granulado Más Ahorro 300 g;Colcafé;Café;1014992;;255;255;columna Precio = precio de lista, no PSP
Colcafé Intenso sobres 1,5 g x 40 (caja 60 g);Colcafé;Café;1056679;;255;255;columna Precio = precio de lista, no PSP
Colcafé Ligero Descafeinado frasco 40 g;Colcafé;Café;1059907;;259;259;columna Precio = precio de lista, no PSP
Colcafé Ligero Descafeinado frasco 90 g;Colcafé;Café;1059909;;259;259;columna Precio = precio de lista, no PSP
Colcafé Vainilla frasco 50 g;Colcafé;Café;1003351;;259;259;columna VALOR = precio de lista, no PSP
CMU 4 Spaghetti 250 g + 3 Fideos 250 g Comarrico + 1 gratis;Comarrico;Pastas;1079528;;57;57;
CMU 6 Unidades Fideo Comarrico 250 g;Comarrico;Pastas;1078664;;59;59;
CMU 6 Unidades Spaghetti Comarrico 250 g;Comarrico;Pastas;1078665;;58;58;
CMU 8 Spaghetti Doria 250 g + 4 Spaghetti Comarrico 250 g + 2 gratis;Comarrico;Pastas;1093060;;56;56;
Comarrico Argollitas / Ojo de Perdiz 250 g;Comarrico;Pastas;1056753;1800;201;201;PRECIO SUGERIDO 250 g declarado en la pág. 199 para la línea Comarrico
Comarrico Caracol 250 g;Comarrico;Pastas;1005135;1800;202;202;PRECIO SUGERIDO 250 g declarado en la pág. 199 para la línea Comarrico
Comarrico Caracol 900 g;Comarrico;Pastas;1089907;;202;202;columna Precio = precio de lista, no PSP
Comarrico Coditos 250 g;Comarrico;Pastas;1005144;1800;201;201;PRECIO SUGERIDO 250 g declarado en la pág. 199 para la línea Comarrico
Comarrico Conchitas 250 g;Comarrico;Pastas;1005145;1800;201;201;PRECIO SUGERIDO 250 g declarado en la pág. 199 para la línea Comarrico
Comarrico Corbatas 250 g;Comarrico;Pastas;1005141;1800;201;201;PRECIO SUGERIDO 250 g declarado en la pág. 199 para la línea Comarrico
Comarrico Fideo 250 g;Comarrico;Pastas;1005133;1800;200;200;PRECIO SUGERIDO 250 g declarado en la pág. 199 para la línea Comarrico
