pagina,clasificacion
1,No detectado
2,No detectado
3,No detectado
4,No detectado
5,No detectado
6,No detectado
7,"Regional: bogota, altillanos, llano"
8,No detectado
9,No detectado
10,"Regional: bogota, altillanos, llano"
11,"Regional: bogota, altillanos, llano"
12,"Regional: bogota, altillanos, llano"
13,No detectado
14,No detectado
15,No detectado
16,No detectado
17,No detectado
18,No detectado
19,No detectado
20,Regional: costa
21,Regional: costa
22,No detectado
23,Regional: tunja
24,No detectado
25,No detectado
26,No detectado
27,No detectado
28,No detectado
29,No detectado
30,No detectado
31,No detectado
32,No detectado
33,No detectado
34,No detectado
35,No detectado
36,No detectado
37,No detectado
38,No detectado
39,No detectado
40,No detectado
41,Regional: costa
42,No detectado
43,No detectado
44,No detectado
45,No detectado
46,No detectado
47,Regional: costa
48,No detectado
49,Nacional (todos los clientes)
50,Nacional (todos los clientes)
51,No detectado
52,"Regional: altillanos, antioquia, llano"
53,"Regional: altillanos, llano"
54,No detectado
55,Nacional (todos los clientes)
56,No detectado
57,No detectado
58,No detectado
59,No detectado
60,No detectado
61,No detectado
62,No detectado
63,Nacional (todos los clientes)
64,Nacional (todos los clientes)
65,Nacional (todos los clientes)
66,Nacional (todos los clientes)
67,Nacional (todos los clientes)
68,No detectado
69,Nacional (todos los clientes)
70,No detectado
71,No detectado
72,No detectado
73,No detectado
74,No detectado
75,No detectado
76,Regional: medellin
77,Regional: sur
78,Regional: cali
79,"Regional: bogota, medellin"
80,No detectado
81,No detectado
82,No detectado
83,No detectado
84,Regional: sur
85,No detectado
86,No detectado
87,No detectado
88,No detectado
89,No detectado
90,No detectado
91,No detectado
92,No detectado
93,No detectado
94,No detectado
95,No detectado
96,No detectado
97,No detectado
98,No detectado
99,No detectado
100,No detectado
101,No detectado
102,No detectado
103,No detectado
104,No detectado
105,Nacional (todos los clientes)
106,Nacional (todos los clientes)
107,Nacional (todos los clientes)
108,No detectado
109,No detectado
110,No detectado
111,No detectado
112,No detectado
113,No detectado
114,No detectado
115,No detectado
116,No detectado
117,No detectado
118,No detectado
119,No detectado
120,No detectado
121,No detectado
122,No detectado
123,No detectado
124,No detectado
125,No detectado
126,No detectado
127,No detectado
128,No detectado
129,No detectado
130,No detectado
131,No detectado
132,No detectado
133,No detectado
134,No detectado
135,No detectado
136,No detectado
137,No detectado
138,Regional: cali
139,No detectado
140,No detectado
141,Regional: cali
142,No detectado
143,No detectado
144,No detectado
145,No detectado
146,No detectado
147,No detectado
148,No detectado
149,No detectado
150,No detectado
151,No detectado
152,Regional: cali
153,Regional: cali
154,No detectado
155,No detectado
156,No detectado
157,No detectado
158,No detectado
159,No detectado
160,No detectado
161,No detectado
162,No detectado
163,No detectado
164,No detectado
165,No detectado
166,No detectado
167,No detectado
168,No detectado
169,No detectado
170,No detectado
171,No detectado
172,No detectado
173,No detectado
174,No detectado
175,No detectado
176,No detectado
177,No detectado
178,No detectado
179,No detectado
180,No detectado
181,No detectado
182,No detectado
183,No detectado
184,No detectado
185,No detectado
186,No detectado
187,No detectado
188,No detectado
189,No detectado
190,No detectado
191,No detectado
192,No detectado
193,No detectado
194,No detectado
195,No detectado
196,No detectado
197,No detectado
198,No detectado
199,No detectado
200,No detectado
201,No detectado
202,No detectado
203,No detectado
204,No detectado
205,No detectado
206,Nacional (todos los clientes)
207,Nacional (todos los clientes)
208,No detectado
209,Nacional (todos los clientes)
210,No detectado
211,Regional: cali
212,No detectado
213,No detectado
214,No detectado
215,No detectado
216,No detectado
217,No detectado
218,No detectado
219,No detectado
220,No detectado
221,No detectado
222,No detectado
223,No detectado
224,No detectado
225,No detectado
226,No detectado
227,No detectado
228,No detectado
229,No detectado
230,No detectado
231,No detectado
232,No detectado
